Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","08/02/2022 17:37 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=bcR1Ee
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad"
1951,-,-,-,-,2116011,0,0,
1952,-,-,-,-,1952928,0,0,
1953,-,-,-,-,1847304,0,0,
1954,-,-,-,-,1749628,0,0,
1955,-,-,-,-,1717966,0,0,
1956,-,-,-,-,1767975,0,0,
1957,-,-,-,-,1742514,0,0,
1958,-,-,-,-,1698310,0,0,
1959,-,-,-,-,1674185,0,0,
1960,-,-,-,-,1656664,0,0,
1961,-,-,-,-,1789067,0,0,
1962,-,-,-,-,1765622,0,0,
1963,-,-,-,-,1682403,0,0,
1964,-,-,-,-,3079949,0,0,
1965,-,-,-,-,3531615,0,0,
1966,-,-,-,-,3501013,0,0,
1967,-,-,-,-,2356991,0,0,
1968,-,-,-,-,2463736,0,0,
1969,-,-,-,-,2531177,0,0,
1970,-,-,-,-,2464730,0,0,
1971,-,-,-,-,3279710,0,0,
1972,-,-,-,-,3251850,0,0,
1973,-,-,-,-,2901335,0,0,
1974,-,-,-,-,2994463,0,0,
1975,-,-,-,-,3529434,0,0,
1976,-,-,-,-,4270631,0,0,
1977,-,-,-,-,4518659,0,0,
1978,-,-,-,-,5065844,0,0,
1979,-,-,-,-,6279912,0,0,
1980,-,-,-,-,8454917,0,0,
1981,-,-,-,-,9714297,0,0,
1982,-,-,-,-,10319353,0,0,
1983,-,-,-,-,10620784,0,0,
1984,-,-,-,-,10728307,0,0,
1985,-,-,-,-,11864046,0,0,
1986,-,-,-,-,12633964,0,0,
1987,-,-,-,-,13128334,0,0,
1988,-,-,-,-,14347031,0,0,
1989,-,-,-,-,14732885,0,0,
1990,-,-,-,-,17395914,0,0,
1991,-,-,-,-,16854762,0,0,
1992,-,-,-,-,17838020,0,0,
1993,-,-,-,-,16325299,743601,4198400,
1994,-,-,-,-,15753494,644640,5322990,
1995,-,-,-,-,14895916,986458,4286690,
1996,-,-,-,-,13356861,977087,4853712,
1997,-,-,-,-,12014967,1028200,4573112,
1998,-,-,-,-,11480439,977800,5063880,
1999,-,-,-,-,11686760,1027400,3968648,
2000,-,-,-,-,12129080,947322,5998501,
2001,-,-,-,-,12116301,943383,5096502,
2002,-,-,-,-,10593526,1093121,4646641,
2003,-,-,-,-,9592279,995567,4181701,
2004,-,-,-,-,9572778,884285,5426539,
2005,-,-,-,-,8661294,801119,6616791,
2006,-,-,-,-,9877009,740253,12794268,
2007,-,-,-,-,11390156,739958,13740317,
2008,-,-,-,-,10488995,823931,14442227,
2009,-,-,-,-,10395780,988030,15628057,
2010,-,-,-,-,10548900,835969,14697804,
2011,-,-,-,-,10403951,895692,15473378,
2012,-,-,-,-,10497028,941497,17670368,
2013,-,-,-,-,11698238,1162934,23925555,
2014,-,-,-,-,14384302,1794703,32274619,
2015,-,-,-,-,16110280,3223460,37494172,
2016,-,-,-,-,17184291,2729521,36627127,
2017,-,-,-,-,19940568,3089503,39118516,
2018,-,-,-,-,20359556,3501627,41425168,2592947
2019,-,-,-,-,20414675,4170548,43503362,3582202
2020,-,-,-,-,20661855,4140106,48557439,3862102
2021,-,-,-,-,20835367,4409770,50872901,3944279
